EmployeeID,Age,Gender,Education,Department,JobTitle,Tenure_Years,Salary,JobSatisfaction,PerformanceRating,Absences,OverTime,EmploymentStatus,Left
EMP0001,39,Male,High School,Sales,Sales Representative,7,69256,3,2,17,0,Resigned,1
EMP0002,36,Female,High School,Sales,Sales Representative,0,113563,4,9,13,0,Resigned,1
EMP0003,49,Male,Bachelor,HR,HR Analyst,10,76421,3,4,10,0,Active,0
EMP0004,38,Non-Binary,Bachelor,Marketing,Digital Marketer,1,100217,9,2,12,0,Active,0
EMP0005,34,Female,Bachelor,Marketing,Digital Marketer,2,46006,4,5,2,0,Resigned,1
EMP0006,45,Male,Diploma,IT,Data Analyst,5,88520,6,4,8,0,Resigned,1
EMP0007,46,Female,Master,HR,Recruiter,8,113000,4,6,1,0,Resigned,1
EMP0008,35,Male,Bachelor,Operations,Operations Analyst,10,67869,8,7,20,1,Active,0
EMP0009,57,Male,Diploma,HR,HR Coordinator,8,116622,7,10,12,1,Active,0
EMP0010,25,Non-Binary,Master,IT,IT Support Specialist,3,60033,3,7,19,0,Active,0
EMP0011,22,Female,High School,Operations,Operations Manager,3,110381,5,6,3,1,Resigned,1
EMP0012,33,Female,Diploma,Operations,Operations Manager,3,79117,9,10,6,0,Active,0
EMP0013,53,Non-Binary,High School,Engineering,QA Engineer,0,54662,6,5,7,0,Active,0
EMP0014,53,Non-Binary,Master,Sales,Sales Coordinator,2,109822,3,3,15,0,Active,0
EMP0015,34,Male,Diploma,Finance,Budget Analyst,9,92296,6,8,16,1,Active,0
EMP0016,43,Male,High School,Finance,Financial Analyst,0,117110,9,4,18,0,Active,0
EMP0017,26,Male,Diploma,Engineering,Systems Analyst,1,83309,2,9,7,1,Resigned,1
EMP0018,52,Female,High School,IT,IT Support Specialist,13,64957,2,2,13,1,Resigned,1
EMP0019,47,Male,Bachelor,Sales,Sales Representative,10,54322,4,4,6,1,Active,0
EMP0020,26,Male,Diploma,IT,IT Support Specialist,14,112132,2,1,20,0,Resigned,1
EMP0021,52,Female,Master,Customer Service,Support Analyst,6,92565,1,3,12,0,Resigned,1
EMP0022,57,Non-Binary,High School,Operations,Process Coordinator,15,60289,4,5,6,0,Resigned,1
EMP0023,25,Male,High School,Marketing,Marketing Coordinator,15,105909,9,3,1,0,Active,0
EMP0024,37,Non-Binary,High School,Sales,Sales Coordinator,12,55713,10,4,18,0,Active,0
EMP0025,59,Non-Binary,Bachelor,Customer Service,Team Lead,10,74179,4,6,7,1,Active,0
EMP0026,26,Non-Binary,Diploma,IT,Business Analyst,0,100068,10,10,3,0,Active,0
EMP0027,44,Non-Binary,Bachelor,Operations,Operations Analyst,2,72018,6,5,5,1,Resigned,1
EMP0028,28,Non-Binary,Diploma,Engineering,QA Engineer,4,74664,2,2,17,0,Active,0
EMP0029,62,Non-Binary,Master,Marketing,Marketing Coordinator,8,106244,8,5,1,0,Active,0
EMP0030,22,Male,High School,Operations,Operations Analyst,10,57146,5,3,14,1,Resigned,1
EMP0031,24,Male,Bachelor,HR,HR Analyst,11,116350,9,3,13,0,Active,0
EMP0032,44,Non-Binary,Diploma,Marketing,Marketing Coordinator,6,72706,2,6,17,1,Resigned,1
EMP0033,33,Non-Binary,High School,Finance,Financial Analyst,13,43248,3,6,13,0,Active,0
EMP0034,52,Male,High School,Customer Service,Customer Service Rep,7,66158,8,6,9,0,Active,0
EMP0035,43,Non-Binary,Bachelor,Finance,Accountant,8,49099,5,6,20,1,Resigned,1
EMP0036,38,Female,Master,Engineering,Software Developer,5,116099,5,1,3,1,Active,0
EMP0037,58,Male,Bachelor,Sales,Account Manager,6,73386,1,7,0,0,Active,0
EMP0038,29,Non-Binary,Diploma,Marketing,Digital Marketer,9,106469,5,7,10,1,Resigned,1
EMP0039,46,Male,Master,Finance,Accountant,5,114593,5,7,17,0,Active,0
EMP0040,50,Female,Bachelor,Marketing,Content Analyst,14,68010,9,8,5,0,Active,0
EMP0041,41,Non-Binary,High School,Sales,Sales Representative,7,66100,3,1,1,0,Resigned,1
EMP0042,62,Non-Binary,High School,IT,Business Analyst,6,90328,8,7,7,0,Active,0
EMP0043,36,Male,Master,Sales,Account Manager,5,107889,8,1,17,0,Resigned,1
EMP0044,55,Male,Master,HR,Recruiter,10,98008,10,9,13,1,Active,0
EMP0045,37,Male,Bachelor,IT,Business Analyst,8,108327,8,4,8,1,Active,0
EMP0046,43,Male,Diploma,Finance,Accountant,10,110798,2,3,4,0,Active,0
EMP0047,48,Female,Master,Sales,Account Manager,10,111121,8,7,1,0,Active,0
EMP0048,52,Female,Master,Engineering,DevOps Engineer,0,86105,5,7,13,0,Resigned,1
EMP0049,46,Non-Binary,High School,IT,IT Support Specialist,10,92994,3,8,4,0,Resigned,1
EMP0050,49,Female,Bachelor,Sales,Sales Coordinator,4,100515,3,1,8,1,Active,0
EMP0051,39,Female,Diploma,Marketing,Content Analyst,13,73065,2,8,0,0,Resigned,1
EMP0052,24,Female,High School,Sales,Sales Coordinator,0,72411,4,1,19,0,Active,0
EMP0053,38,Female,High School,Finance,Accountant,11,61992,10,10,3,0,Active,0
EMP0054,58,Female,High School,Engineering,QA Engineer,12,91990,4,2,18,0,Active,0
EMP0055,56,Female,Master,Engineering,QA Engineer,13,88571,2,9,20,1,Active,0
EMP0056,45,Non-Binary,Master,Sales,Account Manager,14,60052,7,3,16,1,Resigned,1
EMP0057,59,Female,Master,IT,Business Analyst,8,82245,4,2,8,1,Active,0
EMP0058,53,Female,Bachelor,Marketing,Marketing Coordinator,10,63834,8,4,11,1,Active,0
EMP0059,22,Non-Binary,Master,Operations,Operations Manager,6,51221,4,7,15,0,Resigned,1
EMP0060,27,Non-Binary,Bachelor,IT,IT Support Specialist,9,69045,7,4,9,1,Resigned,1
EMP0061,57,Male,High School,Customer Service,Team Lead,10,86112,8,5,9,1,Active,0
EMP0062,29,Male,Bachelor,Finance,Accountant,5,65105,4,8,8,1,Resigned,1
EMP0063,33,Male,Bachelor,Finance,Accountant,9,41854,9,3,8,0,Active,0
EMP0064,53,Female,Bachelor,HR,HR Analyst,3,41607,10,5,15,1,Active,0
EMP0065,38,Non-Binary,High School,HR,HR Coordinator,15,54953,2,7,15,0,Resigned,1
EMP0066,58,Non-Binary,Diploma,HR,HR Coordinator,9,51164,4,2,17,1,Resigned,1
EMP0067,50,Non-Binary,High School,Customer Service,Support Analyst,9,117139,7,5,18,0,Resigned,1
EMP0068,35,Female,Master,Finance,Budget Analyst,8,50641,3,4,5,0,Active,0
EMP0069,24,Female,Diploma,IT,Business Analyst,7,77762,5,8,2,0,Active,0
EMP0070,56,Female,Bachelor,Customer Service,Customer Service Rep,7,59528,5,3,2,0,Active,0
EMP0071,51,Non-Binary,High School,IT,IT Support Specialist,9,92757,5,9,17,1,Resigned,1
EMP0072,42,Non-Binary,Bachelor,Customer Service,Team Lead,8,43390,2,4,18,0,Resigned,1
EMP0073,52,Female,Bachelor,Engineering,Systems Analyst,14,76458,3,10,13,1,Resigned,1
EMP0074,42,Female,High School,Customer Service,Support Analyst,3,61079,6,7,15,1,Resigned,1
EMP0075,42,Non-Binary,Master,IT,IT Support Specialist,8,82372,2,7,16,0,Resigned,1
EMP0076,34,Female,Master,Customer Service,Customer Service Rep,11,105338,8,1,6,1,Resigned,1
EMP0077,23,Male,Diploma,IT,IT Support Specialist,7,60758,5,9,0,1,Active,0
EMP0078,29,Female,Master,Sales,Account Manager,4,105323,5,9,8,1,Active,0
EMP0079,57,Female,Master,Finance,Accountant,4,90277,4,10,16,0,Resigned,1
EMP0080,39,Male,Master,Marketing,Digital Marketer,0,77072,5,10,18,1,Active,0
EMP0081,43,Female,High School,IT,Business Analyst,12,99682,6,4,7,1,Active,0
EMP0082,52,Non-Binary,Bachelor,Marketing,Digital Marketer,12,90604,3,8,1,0,Resigned,1
EMP0083,28,Female,Bachelor,Sales,Account Manager,14,42011,3,7,20,0,Active,0
EMP0084,27,Male,High School,Customer Service,Team Lead,10,109942,7,6,20,1,Resigned,1
EMP0085,40,Non-Binary,Bachelor,Finance,Budget Analyst,7,51846,7,2,20,0,Resigned,1
EMP0086,42,Female,Diploma,Engineering,Software Developer,1,78452,6,6,13,0,Active,0
EMP0087,27,Female,Bachelor,HR,HR Coordinator,12,71566,8,10,4,0,Active,0
EMP0088,22,Female,Bachelor,IT,Business Analyst,14,77700,9,3,2,1,Active,0
EMP0089,38,Non-Binary,Bachelor,Customer Service,Team Lead,14,79599,4,7,15,0,Active,0
EMP0090,40,Non-Binary,Master,Operations,Operations Manager,0,91879,5,1,18,0,Resigned,1
EMP0091,60,Non-Binary,High School,Operations,Operations Analyst,11,68705,4,10,8,0,Active,0
EMP0092,50,Female,Diploma,Engineering,QA Engineer,1,115965,6,3,2,1,Active,0
EMP0093,56,Female,Bachelor,Finance,Financial Analyst,11,109579,9,5,5,1,Active,0
EMP0094,51,Female,High School,Marketing,Marketing Coordinator,2,58449,4,7,17,1,Active,0
EMP0095,29,Male,Diploma,Operations,Operations Manager,14,88311,5,10,12,1,Active,0
EMP0096,61,Female,Master,IT,IT Support Specialist,10,119964,4,2,20,1,Resigned,1
EMP0097,24,Non-Binary,Diploma,Sales,Sales Representative,1,79893,8,2,3,0,Active,0
EMP0098,45,Non-Binary,Master,Customer Service,Support Analyst,13,116983,3,7,20,0,Resigned,1
EMP0099,45,Non-Binary,Bachelor,Operations,Operations Analyst,6,98115,8,4,11,0,Active,0
EMP0100,47,Non-Binary,High School,Marketing,Marketing Coordinator,8,64878,2,8,2,0,Resigned,1
EMP0101,37,Male,Bachelor,Engineering,QA Engineer,4,114000,4,2,17,0,Resigned,1
EMP0102,22,Male,Diploma,HR,HR Analyst,8,58964,3,9,8,0,Active,0
EMP0103,37,Non-Binary,High School,Engineering,QA Engineer,10,42068,3,5,1,0,Resigned,1
EMP0104,50,Non-Binary,High School,Sales,Account Manager,11,107271,10,2,14,0,Active,0
EMP0105,23,Non-Binary,Master,Operations,Process Coordinator,1,102781,7,7,3,1,Active,0
EMP0106,42,Non-Binary,Bachelor,Sales,Sales Representative,4,48609,3,5,19,1,Active,0
EMP0107,60,Male,Master,IT,Data Analyst,13,52999,2,9,6,1,Resigned,1
